Customer_ID,Customer Name,DOB,Gender,City
950694369,xuguk,26/12/74 0:00,M,Hyderabad
615706054,jefex,17/08/55 0:00,F,Jaipur
835551935,wiyuv,09/04/54 0:00,F,Hyderabad
419472292,rowap,14/06/87 0:00,M,Bangalore
146624554,litof,24/06/89 0:00,F,Chandigarh
506980793,cavov,24/09/07 0:00,M,Kanpur
352864508,bikad,19/01/05 0:00,F,Kanpur
695439548,tecoy,18/02/52 0:00,F,Dehradun
280514777,tetim,17/02/04 0:00,F,Mangalore
236940536,vekuy,21/11/74 0:00,M,Kanpur
849848630,ducim,12/05/81 0:00,F,Shimla
903939528,tagaf,17/12/05 0:00,M,Gurugram
570654097,liqir,17/03/64 0:00,M,Mumbai
597079994,pamin,01/05/76 0:00,M,Gurugram
241894340,dulun,11/02/87 0:00,F,Jaipur
830477271,rulic,16/06/52 0:00,F,Chennai
229478479,yutev,14/11/90 0:00,F,Hyderabad
446762156,jujec,05/03/67 0:00,M,Noida
233016013,logoy,19/09/91 0:00,F,Gurugram
754405083,diwus,01/10/06 0:00,F,Dehradun
425040275,yapad,27/11/56 0:00,M,Delhi
789713379,jahor,03/04/53 0:00,F,Orissa
834844822,hedej,01/12/74 0:00,M,Gurugram
567859674,tetug,24/04/56 0:00,M,Gurugram
704882574,wodoc,06/03/91 0:00,F,Shimla
743955013,hoxiz,19/07/92 0:00,M,Orissa
12006374,tuzeg,21/08/70 0:00,F,Dehradun
791709852,hohet,23/05/86 0:00,M,Kanpur
282869098,suqed,12/02/54 0:00,M,Chennai
534083834,jehoh,07/02/61 0:00,F,Orissa
986380171,mijed,17/09/64 0:00,M,Jaipur
924907694,kihix,03/12/69 0:00,F,Dehradun
493686428,zewov,10/05/86 0:00,F,Bangalore
465314158,yibiq,16/12/76 0:00,F,Kanpur
997795465,haxur,17/11/79 0:00,M,Kanpur
135718480,venaz,27/11/50 0:00,M,Noida
78121056,getuy,14/10/69 0:00,M,Orissa
729377624,wotil,10/11/81 0:00,M,Orissa
